submission_id,config,run_index,model_name,pipeline_version,overall,novelty,rigor,applicability,clarity,citation,input_tokens,output_tokens,evaluation_id,run_kind
pcaHnwjnsO,full_mini,0,gpt-5.4-mini,v6,55,52.0,57.0,53.0,49.0,100.0,62573,14440,dc8adbc2-b5c5-4898-9d6e-54bef203b338,adhoc
1lLWZzikiT,full_mini,0,gpt-5.4-mini,v6,70,68.0,73.0,66.0,72.0,100.0,261187,12116,9db1e7c4-952c-42d3-a80d-1c083fe1f0ec,adhoc
KjxdIG4z84,full_mini,0,gpt-5.4-mini,v6,65,67.0,58.0,62.0,73.0,88.0,231368,18192,f25ba7a3-811e-4228-86e9-a115dd19a30f,adhoc
IJAPVmxQYU,full_mini,0,gpt-5.4-mini,v6,64,68.0,62.0,57.0,73.0,72.0,140966,12080,3da46c68-9132-4bff-a9dd-9798e640d1a6,adhoc
p3YaKlm1TR,full_mini,0,gpt-5.4-mini,v6,60,57.0,63.0,58.0,54.0,100.0,142316,13644,f3d6156b-6d54-488d-84ea-275286cbd98f,adhoc
btEiAfnLsX,full_mini,0,gpt-5.4-mini,v6,71,77.0,70.0,62.0,73.0,84.0,107945,15247,ae283099-8306-4c95-aa10-833a4aaf2db9,adhoc
Us00XndbVi,full_mini,0,gpt-5.4-mini,v6,72,68.0,66.0,73.0,78.0,100.0,169435,17165,ad4dab51-b32c-4434-902d-5af98d155d14,adhoc
9pVrsGUTvp,full_mini,0,gpt-5.4-mini,v6,60,62.0,56.0,53.0,69.0,88.0,113845,12754,bcec54c2-b10e-4fda-a67d-c0f8feed3e41,adhoc
xxsacQ3tdb,full_mini,0,gpt-5.4-mini,v6,76,76.0,82.0,69.0,84.0,100.0,220845,15594,e5d1ebd3-41ff-4399-9edb-2d13205537f1,adhoc
qiOIqQ9CwA,full_mini,0,gpt-5.4-mini,v6,64,58.0,61.0,67.0,60.0,100.0,134912,11129,b7035323-f73b-4d6f-a124-c6324bce46f9,adhoc
CCSPm6V5EF,full_mini,0,gpt-5.4-mini,v6,67,57.0,75.0,70.0,81.0,68.0,204177,16146,0c7632e0-6ab6-4dd5-8cfc-2bfc843d4838,adhoc
dBmjnRR1bC,full_mini,0,gpt-5.4-mini,v6,70,70.0,73.0,63.0,77.0,100.0,177634,16050,d2000294-3c80-4a5a-aedc-d3aec28063c4,adhoc
e5tepxQfE1,full_mini,0,gpt-5.4-mini,v6,77,78.0,79.0,73.0,77.0,84.0,235657,15300,268f8769-0d65-465b-a20a-1f6f205c80a5,adhoc
PJdw4VBsXD,full_mini,0,gpt-5.4-mini,v6,75,69.0,73.0,77.0,81.0,100.0,199160,15928,1e34c4ac-78c9-450d-847b-a0e4fe958e52,adhoc
